To,Location
GPI_1[27],PIN_H17
GPI_1[28],PIN_J15
GPI_1[29],PIN_H18
GPI_1[30],PIN_N22
GPI_1[31],PIN_N21
GPI_1[32],PIN_P15
GPI_1[33],PIN_N15
GPI_1[34],PIN_P17
GPI_1[35],PIN_P18
GPO_0[0],PIN_A13
GPO_0[1],PIN_B13
GPO_0[2],PIN_A14
GPO_0[3],PIN_B14
GPO_0[4],PIN_A15
GPO_0[5],PIN_B15
GPO_0[6],PIN_A16
GPO_0[7],PIN_B16
GPO_0[8],PIN_A17
GPO_0[9],PIN_B17
GPO_0[10],PIN_A18
GPO_0[11],PIN_B18
GPO_0[12],PIN_A19
GPO_0[13],PIN_B19
GPO_0[14],PIN_A20
GPO_0[15],PIN_B20
GPO_0[16],PIN_C21
GPO_0[17],PIN_C22
GPO_0[18],PIN_D21
GPO_0[19],PIN_D22
GPO_0[20],PIN_E21
GPO_0[21],PIN_E22
GPO_0[22],PIN_F21
GPO_0[23],PIN_F22
GPO_0[24],PIN_G21
GPO_0[25],PIN_G22
GPO_0[26],PIN_J21
GPO_0[27],PIN_J22
GPO_0[28],PIN_K21
GPO_0[29],PIN_K22
GPO_0[30],PIN_J19
GPO_0[31],PIN_J20
GPO_0[32],PIN_J18
GPO_0[33],PIN_K20
GPO_0[34],PIN_L19
GPO_0[35],PIN_L18
GPO_1[0],PIN_H12
GPO_1[1],PIN_H13
GPO_1[2],PIN_H14
GPO_1[3],PIN_G15
GPO_1[4],PIN_E14
GPO_1[5],PIN_E15
GPO_1[6],PIN_F15
GPO_1[7],PIN_G16
GPO_1[8],PIN_F12
GPO_1[9],PIN_F13
GPO_1[10],PIN_C14
GPO_1[11],PIN_D14
GPO_1[12],PIN_D15
GPO_1[13],PIN_D16
GPO_1[14],PIN_C17
GPO_1[15],PIN_C18
GPO_1[16],PIN_C19
GPO_1[17],PIN_C20
GPO_1[18],PIN_D19
GPO_1[19],PIN_D20
GPO_1[20],PIN_E20
GPO_1[21],PIN_F20
GPO_1[22],PIN_E19
GPO_1[23],PIN_E18
GPO_1[24],PIN_G20
GPO_1[25],PIN_G18
GPO_1[26],PIN_G17
GPO_1[27],PIN_H17
GPO_1[28],PIN_J15
GPO_1[29],PIN_H18
GPO_1[30],PIN_N22
GPO_1[31],PIN_N21
GPO_1[32],PIN_P15
GPO_1[33],PIN_N15
GPO_1[34],PIN_P17
GPO_1[35],PIN_P18
GPIO_0[0],PIN_A13
GPIO_0[1],PIN_B13
GPIO_0[2],PIN_A14
GPIO_0[3],PIN_B14
GPIO_0[4],PIN_A15
GPIO_0[5],PIN_B15
GPIO_0[6],PIN_A16
GPIO_0[7],PIN_B16
GPIO_0[8],PIN_A17
GPIO_0[9],PIN_B17
GPIO_0[10],PIN_A18
GPIO_0[11],PIN_B18
GPIO_0[12],PIN_A19
GPIO_0[13],PIN_B19
GPIO_0[14],PIN_A20
GPIO_0[15],PIN_B20
GPIO_0[16],PIN_C21
GPIO_0[17],PIN_C22
GPIO_0[18],PIN_D21
GPIO_0[19],PIN_D22
GPIO_0[20],PIN_E21
GPIO_0[21],PIN_E22
GPIO_0[22],PIN_F21
GPIO_0[23],PIN_F22
GPIO_0[24],PIN_G21
GPIO_0[25],PIN_G22
GPIO_0[26],PIN_J21
GPIO_0[27],PIN_J22
GPIO_0[28],PIN_K21
GPIO_0[29],PIN_K22
GPIO_0[30],PIN_J19
GPIO_0[31],PIN_J20
GPIO_0[32],PIN_J18
GPIO_0[33],PIN_K20
GPIO_0[34],PIN_L19
GPIO_0[35],PIN_L18
GPIO_1[0],PIN_H12
GPIO_1[1],PIN_H13
GPIO_1[2],PIN_H14
GPIO_1[3],PIN_G15
GPIO_1[4],PIN_E14
GPIO_1[5],PIN_E15
GPIO_1[6],PIN_F15
GPIO_1[7],PIN_G16
GPIO_1[8],PIN_F12
GPIO_1[9],PIN_F13
GPIO_1[10],PIN_C14
GPIO_1[11],PIN_D14
GPIO_1[12],PIN_D15
GPIO_1[13],PIN_D16
GPIO_1[14],PIN_C17
GPIO_1[15],PIN_C18
GPIO_1[16],PIN_C19
GPIO_1[17],PIN_C20
GPIO_1[18],PIN_D19
GPIO_1[19],PIN_D20
GPIO_1[20],PIN_E20
GPIO_1[21],PIN_F20
GPIO_1[22],PIN_E19
GPIO_1[23],PIN_E18
GPIO_1[24],PIN_G20
GPIO_1[25],PIN_G18
GPIO_1[26],PIN_G17
GPIO_1[27],PIN_H17
GPIO_1[28],PIN_J15
GPIO_1[29],PIN_H18
GPIO_1[30],PIN_N22
GPIO_1[31],PIN_N21
GPIO_1[32],PIN_P15
GPIO_1[33],PIN_N15
GPIO_1[34],PIN_P17
GPIO_1[35],PIN_P18
